release_id,track_number,performance_id,track_title,duration_seconds,spotify_track_url,notes
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,1,,Intro,240,,No canonical song performance is mapped to the release intro.
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,2,gd-1972-08-27-promised-land,Promised Land,203,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,3,gd-1972-08-27-sugaree,Sugaree,449,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,4,gd-1972-08-27-me-and-my-uncle,Me and My Uncle,195,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,5,gd-1972-08-27-deal,Deal,295,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,6,gd-1972-08-27-black-throated-wind,Black-Throated Wind,421,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,7,gd-1972-08-27-china-cat-sunflower,China Cat Sunflower,478,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,8,gd-1972-08-27-i-know-you-rider,I Know You Rider,422,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,9,gd-1972-08-27-mexicali-blues,Mexicali Blues,229,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,10,gd-1972-08-27-bertha,Bertha,359,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,11,gd-1972-08-27-playing-in-the-band,Playing in the Band,1196,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,12,gd-1972-08-27-hes-gone,He's Gone,572,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,13,gd-1972-08-27-jack-straw,Jack Straw,306,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,14,gd-1972-08-27-bird-song,Bird Song,796,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,15,gd-1972-08-27-greatest-story-ever-told,Greatest Story Ever Told,336,https://open.spotify.com/track/2jbFswfjrScNOWJT4w6Jeo,Track-specific Spotify link verified.
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,16,gd-1972-08-27-dark-star,Dark Star,1887,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,17,gd-1972-08-27-el-paso,El Paso,304,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,18,gd-1972-08-27-sing-me-back-home,Sing Me Back Home,650,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,19,gd-1972-08-27-sugar-magnolia,Sugar Magnolia,525,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,20,gd-1972-08-27-casey-jones,Casey Jones,385,,
release-veneta-or-1972-08-27-complete-sunshine-daydream-concert,21,gd-1972-08-27-one-more-saturday-night,One More Saturday Night,,,,Track duration not captured in the reviewed source.
